date,equity,cash,invested,drawdown
2026-08-16,99978.50,57000.02,42978.48,-0.000215
2026-08-17,99271.40,57000.02,42271.38,-0.007286
2026-08-18,98963.44,57000.02,41963.42,-0.010366
2026-08-19,99337.29,57000.02,42337.27,-0.006627
2026-08-20,98861.99,57000.02,41861.97,-0.011380
2026-08-21,99158.84,57000.02,42158.82,-0.008412
2026-08-24,99659.58,57000.02,42659.56,-0.003404
2026-08-25,99806.47,57000.02,42806.45,-0.001935
2026-08-26,99806.47,57000.02,42806.45,-0.001935
2026-08-27,99840.89,57000.02,42840.87,-0.001591
2026-08-28,99605.04,57000.02,42605.02,-0.003950
